channel,range_max,range_min,mean,variance,std_dev,range_size
ch_1,4008.0,3832.0,3958.0732,22853.549,151.1739,176.0
ch_10,288.0,0.0,78.88409,11798.543,108.6211,288.0
ch_100,0.0,0.0,31.280277,31687.973,178.01115,0.0
ch_101,128.0,128.0,127.83391,21.231926,4.6078115,0.0
ch_102,685734800.0,685655200.0,684409700.0,879593060000000.0,29657934.0,79616.0
ch_103,0,0,0,0,0,0
ch_104,-6400.0,-6400.0,-6386.159,88389.76,297.30414,0.0
ch_105,390.87195,332.07196,349.6175,481.3853,21.940495,58.799988
ch_106,10.114916,9.972545,10.043496,0.22035101,0.4694156,0.14237118
ch_107,128.0,128.0,127.72318,35.35589,5.9460816,0.0
ch_108,-6400.0,-6400.0,-6386.159,88389.76,297.30414,0.0
ch_109,5.1870956,0.0,3.2240765,47.52916,6.8941393,5.1870956
ch_11,3584.0,3577.6,3571.0664,23947.725,154.75052,6.3999023
ch_110,10.114978,9.972669,10.0466,0.19125576,0.43732798,0.14230919
ch_111,10.114978,9.972669,10.043727,0.2203512,0.4694158,0.14230919
ch_112,0,0,0,0,0,0
ch_113,1530.0979,-66.00423,497.5075,268556.9,518.2248,1596.1022
ch_114,0,0,0,0,0,0
ch_115,0,0,0,0,0,0
ch_116,128.0,0.0,95.77855,3086.124,55.552895,128.0
ch_117,1664.1066,1083.0693,1362.8425,23838.32,154.39664,581.03723
ch_118,1359.087,1359.087,1355.7561,4516.1514,67.20232,0.0
ch_119,3616.2314,3579.229,3589.8557,31764.434,178.2258,37.00244
ch_12,0,0,0,0,0,0
ch_120,639.95905,639.95905,638.39056,1001.33264,31.64384,0.0
ch_13,6300.0,4256.0,4832.7334,541005.5,735.53076,2044.0
ch_14,10548.0,10008.0,10141.077,235832.67,485.62607,540.0
ch_15,0,0,0,0,0,0
ch_16,0,0,0,0,0,0
ch_17,0,0,0,0,0,0
ch_177,0,0,0,0,0,0
ch_178,160.25024,160.25024,160.04231,33.27874,5.7687726,0.0
ch_179,255.0004,255.0004,254.66956,84.26577,9.179639,0.0
ch_18,0,0,0,0,0,0
ch_181,0,0,0,0,0,0
ch_184,0,0,0,0,0,0
ch_185,0,0,0,0,0,0
ch_186,0,0,0,0,0,0
ch_187,0,0,0,0,0,0
ch_19,0,0,0,0,0,0
ch_198,0,0,0,0,0,0
ch_199,384.0,384.0,383.44638,212.28873,14.570131,0.0
ch_2,0,0,0,0,0,0
ch_20,0,0,0,0,0,0
ch_200,256.0,256.0,255.6309,94.35051,9.713419,0.0
ch_21,0,0,0,0,0,0
ch_218,372710.4,372710.4,372226.8,180016540.0,13417.024,0.0
ch_22,0,0,0,0,0,0
ch_226,0,0,0,0,0,0
ch_23,0.0,0.0,0.00035142788,2.3811926e-05,0.0048797466,0.0
ch_24,0,0,0,0,0,0
ch_25,0,0,0,0,0,0
ch_257,-3827712.0,-3827712.0,-3822193.5,21093218000.0,145235.05,0.0
ch_258,128.0,128.0,127.81545,23.587627,4.8567095,0.0
ch_26,0,0,0,0,0,0
ch_261,0,0,0,0,0,0
ch_262,98304.0,98304.0,98162.27,13912554.0,3729.9536,0.0
ch_263,128.0,128.0,127.81545,23.587627,4.8567095,0.0
ch_264,0,0,0,0,0,0
ch_266,0,0,0,0,0,0
ch_27,886.9389,441.84442,533.406,41948.656,204.8137,445.09448
ch_28,0,0,0,0,0,0
ch_29,0.40625063,0.34375054,0.38013232,0.0005336133,0.023100073,0.06250009
ch_299,129024.0,128988.0,128833.29,21565228.0,4643.8374,36.0
ch_3,0,0,0,0,0,0
ch_30,7.3125114,7.3125114,7.3051333,0.053911757,0.23218906,0.0
ch_300,0,0,0,0,0,0
ch_301,0,0,0,0,0,0
ch_302,0,0,0,0,0,0
ch_303,0,0,0,0,0,0
ch_304,0,0,0,0,0,0
